,Achnantes sp 1,Achnanthes brevipes,Achnanthidium minutissimum,Achnanthidium sp 1,Actinocyclus sp 1,Actinoptychus senarius,Adontella aurita,Amphora affinis,Amphora cf. indistincta,Amphora pediculus,Amphora sp 2,Amphora sp 3,Amphora sp 4,Amphora sp 5,Aulacoseira granulata,Aulacoseira sp 1,Bacillaria paxilifera,Biremis circumtexta,Caloneis amphisbaena,Caloneis bacillum,Caloneis cf. westii,Chamaepinnularia cf. hassiaca,Cocconeis cf. guttata,Cocconeis euglypta,Cocconeis pediculus,Cocconeis placentula,Cocconeis scutellum,Cocconeis sp 1,Craticula ambigua,Craticula sp 1,Cyclostephanos dubius,Cyclotella meneghiniana,Cyclotella ocellata,Cymatopleura solea,Cymbella sp 1,Cymbella sp 2,Delphineis minutissima,Delphineis surirella,Denticula subtilis,Diatoma ehrenbergii??,Diploneis cf oblongella,Diploneis cf. puella,Diploneis sp 1,Encyonema prostratum,Encyonema sp 1,Encyonema ventricosum,Epithemia adnata,Epithemia sorex,Epithemia sp 1,Eucocconeis sp 1,Fallacia cf. cryptolyra,Fallacia cf. tenera,Fallacia monoculata,Fallacia pygmaea,Fragilaria sp 1,Fragilaria vaucheriae,Frustulia vulgaris,Geissleria decussis,Gomphoneis eriense var. variabilis,Gomphoneis minuta/herculeana,Gomphonema anglicum,Gomphonema cf. jergackianum,Gomphonema gracilie,Gomphonema olivaceum,Gomphonema parvulum,Gomphonema parvulum var exilissima,Grammatophora cf. oceanica,Grammatophora macilenta,Grammatophora serpentina,Gyrosigma sp 1 ,Gyrosigma sp 2,Gyrosigma sp 3,Gyrosigma sp 4,Gyrosigma sp 5,Hallamphora normanii,Hallamphora sp 1,Hallamphora sp 2,Hallamphora sp 3,Hallamphora sp 4,Hantzschia abundans,Hantzschia graciosa,Hanzschia sp 1,Hippodonta cf. neclecta,Hippodonta hungarica,Karayevia cf amoena,Karayevia clevei,Luticola mutica,Luticola nivalis,Luticola sp 1,Luticola sp 2,Luticola sp 3,Luticola sp 4,Luticola sp 5,Luticola sp 6,Luticola sp 7,Luticola sp 8,Luticola sp 9,Melosira cf. nummuloides,Melosira varians,Morfoespecie 590,Morfoespecie 637,Morfoespecie 672,Morfoespecie 687,Morfoespecie 689,Morfoespecie 694,Morfoespecie 699,Morfoespecie 707,Morfoespecie 744,Morfoespecie 87.1,Morfoespecie 87.10,Morfoespecie 87.11,Morfoespecie 87.12,Morfoespecie 87.3,Morfoespecie 87.5,Morfoespecie 87.9,Navicula antonii,Navicula capitatoradiata,Navicula cf. lanceolata,Navicula cf. rostellata,Navicula cryptotenella,Navicula erifuga,Navicula gregaria,Navicula lauca,Navicula neomundana,Navicula notha,Navicula peregrina,Navicula perminuta,Navicula reichardtiana,Navicula rostellata,Navicula salinarum,Navicula sp 1,Navicula sp 2,Navicula sp 3,Navicula sp 4,Navicula sp 5,Navicula sp 6,Navicula sp 7,Navicula sp 8,Navicula starmachii,Navicula symmetrica/simulata,Navicula tripunctata,Navicula trivialis,Navicula vandamii,Navicula veneta,Navicula vilaplanii,Neidium dubium,Nitzschia abbreviata,Nitzschia amphibia,Nitzschia angustatula,Nitzschia brevissima,Nitzschia cf. archibaldii,Nitzschia cf. supraletorea,Nitzschia clausii,Nitzschia costei,Nitzschia dissipata,Nitzschia dissipata ssp. oligotraphenta,Nitzschia epiphytica,Nitzschia fonticola,Nitzschia frustulum var frustulum,Nitzschia inconspicua,Nitzschia invisitata,Nitzschia laevis,Nitzschia lorenziana,Nitzschia microcephala,Nitzschia paleaceae,Nitzschia recta,Nitzschia sigma,Nitzschia sigmoidea,Nitzschia soratensis,Nitzschia sp 1,Nitzschia sp 2,Nitzschia sp 20,Nitzschia sp 24,Nitzschia sp 3,Nitzschia sp 4,Nitzschia sp 5,Nitzschia sp 6,Nitzschia sp 7,Nitzschia sp 8,Nitzschia sp 9,Nitzschia valdestriata,Nitzschia vermicularis,Odontella aurita,Opephora mutabilis,Ophephora sp 1 ?? Staurosirella pinnata,Paralia sulcata,Paralia sulcata var coronata,Parlibellus aff. protractus,Parlibellus sp 1,Pinnularia borealis,Placoneis pseudanglica,Placoneis sp 1,Planothidium delicatulum,Planothidium frequentissimum,Planothidium sp 1,Planothidium sp 2,Planothidium sp 3,Planothidium sp 4,Planothidium sp 5,Pleurosira laevis,Pseudostaurosira brevistriata,Pseudostaurosira parasiticum var. subconstricta ,Pseudostaurosira sp 1,Reimeria uniseriata,Rhoicosphenia abbreviata,Rhopalodia gibba,Sellaphora pupula,Sellaphora sp 1,Sellaphora sp 2,Shionodiscus oestrupii,Stauroneis salina,Staurophora cf. brantii,Staurosira binodis,Staurosira cf. stevensonii,Staurosira sp 1,Staurosira venter,Staurosirella martyi,Staurosirella sp 1,Stephanodiscus agassizensis,Surirella brightwelli,Tabularia cf. fasciculata,Thalassionema sp 1,Thalassiosira cf. decipiens,Thalassiosira sp 1,Thalassiosira sp 2,Thalassiosira sp 3,Thalassiosira sp 4,Trachyneis aspera,Trigonium alternans ,Tryblionella apiculata,Tryblionella gracilis,Tryblionella hungarica,Tryblionella littoralis,Tryblionella navicularis,Tryblionella sp 1,Tryblionella sp 2,Tryblionella sp 3,Ulnaria acus,Ulnaria sp 1,Ulnaria sp 2,Ulnaria sp 3,Ulnaria sp 4,Ulnaria ulna
CH 1,0,2,0,1,0,2,1,100,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,6,6,27,3,2,0,11,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,240,0,13,9,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,13,0,1,0,0,2,0,0,0,1,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0
CH 2,0,1,1,0,0,2,10,88,1,0,0,2,0,0,3,0,0,0,1,0,0,0,3,16,8,88,4,4,0,3,1,0,0,0,0,0,13,6,0,0,0,1,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,19,10,10,17,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,24,1,11,14,0,0,2,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,4,1,0,6,1,0,0,1,1,0,0,0,38,0,2,1,4,0,1,0,1,0,1,18,3,0,0,0,0,0,0,0,1,0,0,0,0
CH 3,1,2,0,0,0,3,4,76,4,0,0,1,0,0,5,0,0,0,0,0,1,0,0,8,5,61,11,0,0,4,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,3,12,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,16,4,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,1,0,6,0,1,0,1,0,1,0,0,0,0,8,1,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,0,0,0,0,3,0,1,2,0,0,24,5,3,9,1,0,0,0,0,11,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,2,6,0,4,4,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,80,0,0,0,1,0,1,1,0,0,4,37,4,0,0,1,0,0,0,0,0,0,0,0,1
CH 4,1,1,0,0,0,1,0,153,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,4,2,41,1,0,0,1,0,0,0,0,0,0,8,1,0,1,0,0,1,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,1,10,3,0,0,1,0,0,0,0,1,1,0,0,0
CH 5,0,0,0,0,1,0,1,169,0,0,0,52,0,0,4,0,0,0,0,0,1,0,0,5,8,60,2,1,0,0,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,1,18,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0
CH 6,0,0,2,0,0,0,1,14,0,5,0,1,0,0,27,1,0,2,0,0,0,0,0,20,12,92,0,0,0,0,0,1,0,5,0,0,1,0,0,12,0,0,0,1,0,0,3,44,1,0,0,0,0,55,0,1,0,1,2,6,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,91,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,3
CH 7,1,0,0,0,0,0,0,3,0,7,0,0,0,0,12,0,0,0,1,0,0,0,0,21,29,139,0,0,1,0,0,0,0,0,1,0,0,1,4,3,0,2,0,0,0,0,0,38,0,0,0,0,2,5,0,0,1,1,1,4,0,1,0,8,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,17,0,0,1,1,1,1,0,0,0,2,0,0,0,1,0,21,1,2,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,2,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,0,2,4,0,0,1,0,0,0,0,0,0,1,2,0,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0,98,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,1
CH 8,5,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,1,1,0,0,0,0,0,39,33,202,0,0,0,0,0,1,0,1,0,0,0,0,3,9,0,9,0,0,0,0,4,30,1,0,0,0,0,0,0,1,1,0,0,3,0,2,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,10,0,6,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,11,1,4,0,0,0,0,0,0,0,1,0,1,0,0,51,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CH 9,5,0,2,0,0,0,0,0,0,8,1,0,0,0,7,0,4,1,0,0,0,1,0,45,22,216,0,0,0,0,0,2,1,2,0,1,0,0,1,1,0,24,0,0,0,0,2,24,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,1,4,7,2,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,7,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,46,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1
CH 10,3,0,0,0,0,0,0,0,0,54,0,0,3,0,6,0,0,0,2,0,0,1,0,37,26,197,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,1,0,0,0,0,0,4,0,2,9,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,3,3,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,6,0,1,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
