,Achnantes sp 2,Achnanthes sp 1,Amphora  caffeaeformis,Amphora gacialis,Amphora libyca,Amphora pediculus,Amphora sp 1,Amphora sp 2,Amphora sp 3,Amphora sp 4,Aulacoseira granulata,Caloneis amphisbaena,Campylosira cymbelliformis,Cocconeis euglypta,Cocconeis pediculus,Cocconeis placentula,Cocconeis sp 1,Craticula buderi,Ctenophora pulchella,Cyclotella meneghiniana,Cyclotella ocellata,Cyclotella sp 1,Cyclotella striata,Cymatopleura solea,Cymatosira belgica,Cymbella affinis,Delphineis minutissima,Delphineis surirella,Denticula subtilis,Diatoma tenuis,Diatoma vulgaris,Diploneis aestuari,Diploneis cynthia,Diploneis didyma,Diploneis oblongella,Diploneis sp 1,Diploneis sp 2,Diploneis weissflogui,Encyonema prostratum,Encyonema sp 1,Encyonema sp 2,Ephitemia adnata,Epithemia sorex,Fallacia spatiata,Fragilaria bidens,Fragilaria capucina,Geissleria decussis,Gomphonema laticollum,Gomphonema olivaceum,Gyrosigma sp 1,Gyrosigma spenceri,Halamphora cf. subholsatica,Halamphora coffeaeformis,Hantzschia abundans,Hantzschia delicatula,Hantzschia graciosa,Hantzschia longiareolatae,Hippodonta subtilissima,Ind.2,Ind.3,Luticola mutica,Mastogloia elliptica,Mastogloia smithii,Morf.105,Morf.106,Morf.107,Morf.110,Morf.111,Morf.112,Morf.120,Morf.140,Morf.141,Morf.142,Morf.143,Morf.145,Morf.147,Morf.152,Morf.155,Morf.157,Morf.162,Morf.166,Morf.168,Morf.171,Morf.172,Morf.173,Morf.174,Morf.180,Morf.183,Morf.184,Morf.185,Morf.195,Morf.196,Morf.199,Morf.203,Morf.207,Morf.50,Morf.B,Morf.E,Morf.J,Morf.K,Morf.M,Morf.N,Morf.O,Morf.P,Navicula aff. chiarae,Navicula aff. cryptotenella,Navicula amphiceropsis,Navicula antonii,Navicula besarensis,Navicula capitatoradiata,Navicula cf. polae,Navicula cincta,Navicula cryptocephala,Navicula cryptotenella,Navicula perminuta,Navicula reichardtiana ,Navicula salinarum,Navicula salinicola ,Navicula sp 1,Navicula sp 2,Navicula sp 3 ,Navicula sp 4,Navicula sp 5,Navicula sp 6,Navicula tripunctata,Navicula vilaplanii,Nitzschia abbreviata,Nitzschia aff. perindistincta,Nitzschia amphibioides,Nitzschia aremonica,Nitzschia brevissima,Nitzschia communis,Nitzschia etoshensis,Nitzschia filiformis,Nitzschia filiformis var. conferta,Nitzschia fonticola,Nitzschia frustulum var. frustulum,Nitzschia microcephala,Nitzschia paleacea,Nitzschia sp 1,Nitzschia sp 2,Nitzschia sp 3,Odontella longicruris,Odontella sp 1,Paralia sulcata,Paralia sulcata var coronata,Pinnularia gibba?,Pinnularia kuetzingii,Placoneis pseudanglica,Plagiogramma sp 1,Planothidium delicatulum,Planothidium dubium,Pleurosigma sp 1,Psammodictyon panduriformis,Pseudostaurosira brevistriata,Pseudostaurosira sp 1,Punctastriata glubokoensis,Punctastriata lancettula,Reimeria sp 1,Reimeria uniseriata,Rhaphoneis amphiceros,Rhoicosphenia abbreviata,Rhoicosphenia linearis,Rhopalodia brebissonii,Rhopalodia gibberula,Rhopalodia operculata,Sellaphora pupula ,Shionodiscus oestrupii,Staurophora brantii,Staurosira binodis,Staurosira construens,Staurosira venter ,Stephanodisccus agassizensis,Tabularia fasciculata,Thalassionema nitzschioides var parva,Thalassionema sp 1,Thalassiosira decipiens,Thalassiosira lineata?,Thalassiosira sp 1,Trigonium alternans,Tryblionella apiculata,Tryblionella granulata
RC 1,0,0,0,1,1,1,0,0,0,0,0,0,5,0,0,1,1,0,1,0,1,0,2,0,253,0,10,8,0,0,0,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6,0,0,0,1,0,0,15,0,0,2,0,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,32,21,1,1,0,1,1,0,1,1,7,0,2,0,0,0,46,0,0,0,1,0,0,2,1,0,1,13,0,1,0,1,1,2,3,1,0,0
RC 2,0,0,2,1,0,1,0,3,0,1,0,0,12,0,0,2,1,0,0,0,1,0,1,0,151,0,40,28,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,1,0,4,0,0,3,4,1,3,1,20,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,7,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,8,16,24,0,0,0,0,3,0,0,0,5,1,4,1,0,0,66,0,0,0,0,0,0,0,0,0,0,23,0,0,1,2,22,2,4,0,0,0
RC 3,0,0,0,3,1,6,1,0,1,1,3,0,6,1,0,1,0,0,0,1,3,0,2,0,176,0,24,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,1,2,2,5,2,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,1,0,0,0,0,0,36,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,63,30,0,1,0,0,0,1,0,1,1,2,2,6,0,0,22,0,1,0,0,2,0,2,3,0,0,33,4,0,1,2,8,1,12,1,0,2
RC 4,0,0,0,0,0,0,2,3,0,0,2,0,0,0,1,4,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,24,50,23,0,0,0,0,0,1,2,1,0,0,1,1,10,272,21,0,0,0,0,0,0,0,1,0
RC 5,0,0,0,0,0,6,0,1,0,0,0,0,0,2,2,7,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,19,28,20,0,1,0,0,0,2,3,0,0,0,3,0,7,296,18,0,0,0,0,0,0,0,0,0
RC 6,0,1,0,0,0,10,0,0,0,0,2,0,0,1,1,3,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,8,52,15,0,1,0,2,0,0,0,0,0,0,0,1,7,330,10,0,0,0,0,0,0,0,0,0
RC 7,0,0,0,0,0,8,0,0,0,4,0,0,0,1,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,6,34,20,0,0,0,0,0,0,0,0,0,0,5,0,5,329,5,0,0,0,0,0,0,0,0,0
RC 8,0,0,0,0,0,5,0,0,0,0,1,1,0,2,7,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,44,17,0,1,0,0,0,0,1,0,0,0,0,0,9,331,21,0,0,0,0,0,0,0,1,0
RC 9,0,0,0,0,0,5,0,1,0,3,0,0,0,1,0,7,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,8,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,57,9,37,24,0,1,0,0,0,1,0,2,0,0,1,1,12,294,13,0,0,0,0,0,0,0,1,0
RC 10,0,0,0,0,0,4,1,0,0,0,1,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,37,22,0,1,0,0,0,0,0,0,0,0,0,0,5,374,6,0,0,0,0,0,0,0,0,0
